path,ext,size_bytes,role,maintenance,note,review_status
backend/data/nbs_deliverables/nmas_q1_2026_raw_metrics.csv,.csv,7047682,other,hand,,pending
backend/data/nbs_deliverables/nmas_q2q3_2025_raw.csv,.csv,40268859,other,hand,,pending
backend/data/nbs_deliverables/q2q3_extraction_log.txt,.txt,1372,other,hand,,pending
backend/data/nbs_deliverables/quarterly_aggregates_full.csv,.csv,667007,other,hand,,pending
backend/data/nigerian_artists_chartmetric.json,.json,11926,other,hand,,pending
backend/nixpacks.toml,.toml,237,other,hand,,pending
backend/pyproject.toml,.toml,925,other,hand,,pending
backend/requirements.txt,.txt,802,other,hand,,pending
backend/run_nmas.py,.py,533,other,hand,,pending
backend/runtime.txt,.txt,15,other,hand,,pending
backend/tests/__init__.py,.py,0,other,hand,,pending
backend/tests/conftest.py,.py,208,other,hand,,pending
backend/tests/test_services.py,.py,24193,other,hand,,pending
deployment/digitalocean-app.yaml,.yaml,1763,other,hand,,pending
deployment/docker-compose.dev.yml,.yml,505,other,hand,,pending
frontend/Procfile,,50,other,hand,,pending
frontend/README.md,.md,9,other,hand,,pending
frontend/eslint.config.js,.js,739,other,hand,,pending
frontend/index.html,.html,386,other,hand,,pending
frontend/package-lock.json,.json,252962,other,hand,,pending
frontend/package.json,.json,1508,other,hand,,pending
frontend/postcss.config.js,.js,81,other,hand,,pending
frontend/tailwind.config.js,.js,191,other,hand,,pending
frontend/tsconfig.app.json,.json,681,other,hand,,pending
frontend/tsconfig.json,.json,119,other,hand,,pending
frontend/tsconfig.node.json,.json,479,other,hand,,pending
frontend/vite.config.ts,.ts,764,other,hand,,pending
soundcharts_api.log,.log,1482,other,hand,,pending
NBS FINAL delivery/03_Excel_Deliveries/10_NMAS_Extended_History_2019_2026.xlsx,.xlsx,20688381,presentation,generated,Excel deliverable,pending
NBS FINAL delivery/03_Excel_Deliveries/1_Gross_Streaming_Revenue.xlsx,.xlsx,1468349,presentation,generated,Excel deliverable,pending
NBS FINAL delivery/03_Excel_Deliveries/2_Gross_Export_Revenue.xlsx,.xlsx,1739230,presentation,generated,Excel deliverable,pending
NBS FINAL delivery/03_Excel_Deliveries/3_Employment_Male_Female.xlsx,.xlsx,14218,presentation,generated,Excel deliverable,pending
NBS FINAL delivery/03_Excel_Deliveries/4_Hosting_Production_Costs.xlsx,.xlsx,23275,presentation,generated,Excel deliverable,pending
NBS FINAL delivery/03_Excel_Deliveries/5_Artist_Platform_Performance.xlsx,.xlsx,56212,presentation,generated,Excel deliverable,pending
NBS FINAL delivery/03_Excel_Deliveries/7_Digital_Music_Export.xlsx,.xlsx,855856,presentation,generated,Excel deliverable,pending
NBS FINAL delivery/03_Excel_Deliveries/8_Artist_Population_Frame.xlsx,.xlsx,83384,presentation,generated,Excel deliverable,pending
NBS FINAL delivery/03_Excel_Deliveries/9_NBS_Accounts_Domestic_and_GNI.xlsx,.xlsx,15843,presentation,generated,Excel deliverable,pending
NBS FINAL delivery/03_Excel_Deliveries/README.txt,.txt,1061,presentation,generated,Excel deliverable,pending
frontend/src/App.tsx,.tsx,4589,presentation,hand,frontend source,pending
frontend/src/ThemeToggle.tsx,.tsx,1432,presentation,hand,frontend source,pending
frontend/src/console/ConsoleApp.tsx,.tsx,10893,presentation,hand,frontend source,pending
frontend/src/console/components/DataTable.tsx,.tsx,13668,presentation,hand,frontend source,pending
frontend/src/console/components/primitives.tsx,.tsx,20181,presentation,hand,frontend source,pending
frontend/src/console/data/capabilities.ts,.ts,14271,presentation,hand,frontend source,pending
frontend/src/console/data/client.ts,.ts,10110,presentation,hand,frontend source,pending
frontend/src/console/data/transport.ts,.ts,6048,presentation,hand,frontend source,pending
frontend/src/console/data/types.ts,.ts,9946,presentation,hand,frontend source,pending
frontend/src/console/panels/AccountSeparation.tsx,.tsx,29950,presentation,hand,frontend source,pending
frontend/src/console/panels/ArtifactManifest.tsx,.tsx,20283,presentation,hand,frontend source,pending
frontend/src/console/panels/ArtistUniverse.tsx,.tsx,40484,presentation,hand,frontend source,pending
frontend/src/console/panels/AuditTrail.tsx,.tsx,26248,presentation,hand,frontend source,pending
frontend/src/console/panels/ConstantsRegister.tsx,.tsx,28776,presentation,hand,frontend source,pending
frontend/src/console/panels/CoverageMatrix.tsx,.tsx,22907,presentation,hand,frontend source,pending
frontend/src/console/panels/DeliveryRegister.tsx,.tsx,17183,presentation,hand,frontend source,pending
frontend/src/console/panels/EntityGraph.tsx,.tsx,35303,presentation,hand,frontend source,pending
frontend/src/console/panels/EstimationTransparency.tsx,.tsx,57487,presentation,hand,frontend source,pending
frontend/src/console/panels/ExecutiveConsole.tsx,.tsx,39825,presentation,hand,frontend source,pending
frontend/src/console/panels/ExportFootprint.tsx,.tsx,38585,presentation,hand,frontend source,pending
frontend/src/console/panels/GapRegister.tsx,.tsx,23972,presentation,hand,frontend source,pending
frontend/src/console/panels/LineageInspector.tsx,.tsx,43740,presentation,hand,frontend source,pending
frontend/src/console/panels/MethodologyInspector.tsx,.tsx,41200,presentation,hand,frontend source,pending
frontend/src/console/panels/PlatformRevenue.tsx,.tsx,45323,presentation,hand,frontend source,pending
frontend/src/console/panels/ProviderExpansion.tsx,.tsx,16445,presentation,hand,frontend source,pending
frontend/src/console/panels/RunTimeline.tsx,.tsx,31203,presentation,hand,frontend source,pending
frontend/src/console/panels/SourceIntelligence.tsx,.tsx,38302,presentation,hand,frontend source,pending
frontend/src/console/panels/SystemMonitoring.tsx,.tsx,19392,presentation,hand,frontend source,pending
frontend/src/console/panels/ValidationCentre.tsx,.tsx,38621,presentation,hand,frontend source,pending
frontend/src/console/panels/registry.ts,.ts,6146,presentation,hand,frontend source,pending
frontend/src/console/registry/constants.ts,.ts,14018,presentation,hand,frontend source,pending
frontend/src/console/registry/epistemic.ts,.ts,11229,presentation,hand,frontend source,pending
frontend/src/console/registry/gaps.ts,.ts,21214,presentation,hand,frontend source,pending
frontend/src/console/registry/stages.ts,.ts,10650,presentation,hand,frontend source,pending
frontend/src/console/tokens.css,.css,12376,presentation,hand,frontend source,pending
frontend/src/features/nmas/BackendGate.tsx,.tsx,19206,presentation,hand,frontend source,pending
frontend/src/features/nmas/NbsConsole.tsx,.tsx,33037,presentation,hand,frontend source,pending
frontend/src/features/nmas/NbsDashboard.tsx,.tsx,40812,presentation,hand,frontend source,pending
frontend/src/features/nmas/endpoints.ts,.ts,10121,presentation,hand,frontend source,pending
frontend/src/index.css,.css,3333,presentation,hand,frontend source,pending
frontend/src/lib/api.ts,.ts,9297,presentation,hand,frontend source,pending
frontend/src/lib/firebase.ts,.ts,514,presentation,hand,frontend source,pending
frontend/src/lib/nbsTransport.ts,.ts,2771,presentation,hand,frontend source,pending
frontend/src/main.tsx,.tsx,390,presentation,hand,frontend source,pending
frontend/src/theme.ts,.ts,2406,presentation,hand,frontend source,pending
frontend/src/vite-env.d.ts,.ts,38,presentation,hand,frontend source,pending
backend/data/soundcharts/artist_resolution.csv,.csv,77906,source,generated,raw provider extraction,pending
delivery/01_Executive_Summary/Executive_Summary.md,.md,4264,source,generated,"previous delivery, immutable evidence",pending
delivery/02_Methodology/NBS_Methodology_and_Sources.md,.md,1476,source,generated,"previous delivery, immutable evidence",pending
delivery/02_Methodology/Variable_Methodology.md,.md,18703,source,generated,"previous delivery, immutable evidence",pending
delivery/03_Excel_Deliveries/1_Gross_Streaming_Revenue.xlsx,.xlsx,100418,source,generated,"previous delivery, immutable evidence",pending
delivery/03_Excel_Deliveries/2_Gross_Export_Revenue.xlsx,.xlsx,54009,source,generated,"previous delivery, immutable evidence",pending
delivery/03_Excel_Deliveries/3_Employment_Male_Female.xlsx,.xlsx,14218,source,generated,"previous delivery, immutable evidence",pending
delivery/03_Excel_Deliveries/4_Hosting_Production_Costs.xlsx,.xlsx,14543,source,generated,"previous delivery, immutable evidence",pending
delivery/03_Excel_Deliveries/5_Artist_Platform_Performance.xlsx,.xlsx,10259,source,generated,"previous delivery, immutable evidence",pending
delivery/03_Excel_Deliveries/6_NMAS_Full_Artist_Data_Q1_2024_Q4_2025.xlsx,.xlsx,16422982,source,generated,"previous delivery, immutable evidence",pending
delivery/03_Excel_Deliveries/7_Digital_Music_Export.xlsx,.xlsx,61575,source,generated,"previous delivery, immutable evidence",pending
delivery/03_Excel_Deliveries/8_Artist_Population_Frame.xlsx,.xlsx,78083,source,generated,"previous delivery, immutable evidence",pending
delivery/04_Datasets/Artist_Master_List.csv,.csv,4416,source,generated,"previous delivery, immutable evidence",pending
delivery/04_Datasets/Artist_Population_Frame.csv,.csv,75649,source,generated,"previous delivery, immutable evidence",pending
delivery/04_Datasets/Coverage_Gap_Report.csv,.csv,3492089,source,generated,"previous delivery, immutable evidence",pending
delivery/04_Datasets/Daily_Metric_Observations.csv,.csv,155026875,source,generated,"previous delivery, immutable evidence",pending
delivery/04_Datasets/Data_Limitations_Report.csv,.csv,784979,source,generated,"previous delivery, immutable evidence",pending
delivery/04_Datasets/Employment_Male_Female.csv,.csv,1848,source,generated,"previous delivery, immutable evidence",pending
delivery/04_Datasets/Gross_Export_Revenue.csv,.csv,96884,source,generated,"previous delivery, immutable evidence",pending
delivery/04_Datasets/Gross_Streaming_Revenue.csv,.csv,104505,source,generated,"previous delivery, immutable evidence",pending
delivery/04_Datasets/Hosting_Production_Costs.csv,.csv,1746,source,generated,"previous delivery, immutable evidence",pending
delivery/04_Datasets/Quarterly_Aggregates_Full.csv,.csv,667007,source,generated,"previous delivery, immutable evidence",pending
delivery/05_Database_Extracts/artists.csv,.csv,23037,source,generated,"previous delivery, immutable evidence",pending
delivery/05_Database_Extracts/coverage_gaps_summary.csv,.csv,7955,source,generated,"previous delivery, immutable evidence",pending
delivery/05_Database_Extracts/job_failures_summary.csv,.csv,226,source,generated,"previous delivery, immutable evidence",pending
delivery/05_Database_Extracts/observation_summary.csv,.csv,40230,source,generated,"previous delivery, immutable evidence",pending
delivery/06_Sample_Workbooks/00_NBS_Sample_Cover.xlsx,.xlsx,7028,source,generated,"previous delivery, immutable evidence",pending
delivery/06_Sample_Workbooks/01_Gross_Streaming_Revenue_SAMPLE.xlsx,.xlsx,30199,source,generated,"previous delivery, immutable evidence",pending
delivery/06_Sample_Workbooks/02_Gross_Export_Revenue_SAMPLE.xlsx,.xlsx,17324,source,generated,"previous delivery, immutable evidence",pending
delivery/06_Sample_Workbooks/03_Employment_Male_Female_SAMPLE.xlsx,.xlsx,8331,source,generated,"previous delivery, immutable evidence",pending
delivery/06_Sample_Workbooks/04_Hosting_Production_Costs_SAMPLE.xlsx,.xlsx,6300,source,generated,"previous delivery, immutable evidence",pending
delivery/06_Sample_Workbooks/05_Social_Media_Metrics_SAMPLE.xlsx,.xlsx,35837,source,generated,"previous delivery, immutable evidence",pending
delivery/06_Sample_Workbooks/06_Top_Performers_Showcase.xlsx,.xlsx,10059,source,generated,"previous delivery, immutable evidence",pending
delivery/06_Sample_Workbooks/07_Executive_Sample_Brief.xlsx,.xlsx,7473,source,generated,"previous delivery, immutable evidence",pending
delivery/06_Sample_Workbooks/README.md,.md,3096,source,generated,"previous delivery, immutable evidence",pending
delivery/07_Quality_Checks/Quality_Check_Report.md,.md,1610,source,generated,"previous delivery, immutable evidence",pending
delivery/08_References/References_and_Proof.md,.md,7440,source,generated,"previous delivery, immutable evidence",pending
delivery/09_AI_Disclosure/NMAS_AI_Disclosure_and_Claude_Code_Architecture.md,.md,17981,source,generated,"previous delivery, immutable evidence",pending
delivery/10_Presentation/Architecting_the_Digital_Shadow_Ledger.mp4,.mp4,70053286,source,generated,"previous delivery, immutable evidence",pending
delivery/10_Presentation/NMAS_NBS_Final_Delivery_Presentation.md,.md,43062,source,generated,"previous delivery, immutable evidence",pending
delivery/10_Presentation/NMAS_Technical_Delivery.pptx,.pptx,18123170,source,generated,"previous delivery, immutable evidence",pending
delivery/11_Raw_Extractions/1_gross_streaming_revenue.csv,.csv,103725,source,generated,"previous delivery, immutable evidence",pending
delivery/11_Raw_Extractions/2_gross_export_revenue.csv,.csv,96689,source,generated,"previous delivery, immutable evidence",pending
delivery/11_Raw_Extractions/3_employment_male_female.csv,.csv,1848,source,generated,"previous delivery, immutable evidence",pending
delivery/11_Raw_Extractions/4_hosting_production_costs.csv,.csv,1746,source,generated,"previous delivery, immutable evidence",pending
delivery/11_Raw_Extractions/NBS_METHODOLOGY_AND_SOURCES.md,.md,1476,source,generated,"previous delivery, immutable evidence",pending
delivery/11_Raw_Extractions/all_chartmetric_artists.json,.json,112665,source,generated,"previous delivery, immutable evidence",pending
delivery/11_Raw_Extractions/extraction_log.txt,.txt,2618,source,generated,"previous delivery, immutable evidence",pending
delivery/11_Raw_Extractions/nigerian_artists_chartmetric.json,.json,11926,source,generated,"previous delivery, immutable evidence",pending
delivery/11_Raw_Extractions/nmas_chartmetric_full_metrics.csv,.csv,152417325,source,generated,"previous delivery, immutable evidence",pending
delivery/11_Raw_Extractions/nmas_q1_2026_raw.csv,.csv,6602935,source,generated,"previous delivery, immutable evidence",pending
delivery/11_Raw_Extractions/nmas_q1_2026_raw_metrics.csv,.csv,7047682,source,generated,"previous delivery, immutable evidence",pending
delivery/11_Raw_Extractions/nmas_q2q3_2025_raw.csv,.csv,40268859,source,generated,"previous delivery, immutable evidence",pending
delivery/11_Raw_Extractions/q2q3_extraction_log.txt,.txt,1372,source,generated,"previous delivery, immutable evidence",pending
delivery/11_Raw_Extractions/quarterly_aggregates_full.csv,.csv,667007,source,generated,"previous delivery, immutable evidence",pending
delivery/12_System_Exports/export_run_1/NMAS_131_Nigerian_Artists_Q1_2024_to_Q4_2025.xlsx,.xlsx,16422982,source,generated,"previous delivery, immutable evidence",pending
delivery/12_System_Exports/export_run_1/coverage_report.csv,.csv,3427500,source,generated,"previous delivery, immutable evidence",pending
delivery/12_System_Exports/export_run_1/job_summary_report.md,.md,3601,source,generated,"previous delivery, immutable evidence",pending
delivery/12_System_Exports/export_run_1/limitations_report.csv,.csv,784979,source,generated,"previous delivery, immutable evidence",pending
delivery/12_System_Exports/export_run_1/nmas_artists.csv,.csv,4416,source,generated,"previous delivery, immutable evidence",pending
delivery/12_System_Exports/export_run_1/nmas_chartmetric_metrics.csv,.csv,47536336,source,generated,"previous delivery, immutable evidence",pending
delivery/12_System_Exports/export_run_1/nmas_extraction_notes.md,.md,1387,source,generated,"previous delivery, immutable evidence",pending
delivery/12_System_Exports/export_run_1/nmas_tracks.csv,.csv,120,source,generated,"previous delivery, immutable evidence",pending
delivery/12_System_Exports/export_run_1/nmas_variable_methodology.md,.md,13466,source,generated,"previous delivery, immutable evidence",pending
delivery/12_System_Exports/export_run_1/quarterly_aggregates.csv,.csv,367341,source,generated,"previous delivery, immutable evidence",pending
delivery/12_System_Exports/export_run_2/coverage_report.csv,.csv,3492089,source,generated,"previous delivery, immutable evidence",pending
delivery/12_System_Exports/export_run_2/job_summary_report.md,.md,3601,source,generated,"previous delivery, immutable evidence",pending
delivery/12_System_Exports/export_run_2/limitations_report.csv,.csv,784979,source,generated,"previous delivery, immutable evidence",pending
delivery/12_System_Exports/export_run_2/nmas_artists.csv,.csv,4416,source,generated,"previous delivery, immutable evidence",pending
delivery/12_System_Exports/export_run_2/nmas_chartmetric_metrics.csv,.csv,47536336,source,generated,"previous delivery, immutable evidence",pending
delivery/12_System_Exports/export_run_2/nmas_extraction_notes.md,.md,1387,source,generated,"previous delivery, immutable evidence",pending
delivery/12_System_Exports/export_run_2/nmas_tracks.csv,.csv,120,source,generated,"previous delivery, immutable evidence",pending
delivery/12_System_Exports/export_run_2/nmas_variable_methodology.md,.md,18703,source,generated,"previous delivery, immutable evidence",pending
delivery/12_System_Exports/export_run_2/quarterly_aggregates.csv,.csv,367341,source,generated,"previous delivery, immutable evidence",pending
delivery/README.md,.md,2240,source,generated,"previous delivery, immutable evidence",pending
backend/nmas/__init__.py,.py,56,transform,hand,backend module,pending
backend/nmas/application.py,.py,28108,transform,hand,backend module,pending
backend/nmas/config.py,.py,2592,transform,hand,backend module,pending
backend/nmas/database.py,.py,1032,transform,hand,backend module,pending
backend/nmas/metrics.py,.py,25253,transform,hand,backend module,pending
backend/nmas/models.py,.py,13497,transform,hand,backend module,pending
backend/nmas/schemas.py,.py,6090,transform,hand,backend module,pending
backend/nmas/services/__init__.py,.py,50,transform,hand,backend module,pending
backend/nmas/services/chartmetric.py,.py,23668,transform,hand,backend module,pending
backend/nmas/services/entities.py,.py,7987,transform,hand,backend module,pending
backend/nmas/services/exports.py,.py,19673,transform,hand,backend module,pending
backend/nmas/services/jobs.py,.py,20683,transform,hand,backend module,pending
backend/nmas/services/quarterly.py,.py,5512,transform,hand,backend module,pending
backend/nmas/services/soundcharts.py,.py,12613,transform,hand,backend module,pending
backend/nmas/soundcharts_metrics.py,.py,15597,transform,hand,backend module,pending
backend/scripts/audit_value_provenance.py,.py,11756,transform,hand,processing script,pending
backend/scripts/build_all_excel.py,.py,20889,transform,hand,processing script,pending
backend/scripts/build_artist_population_frame.py,.py,16601,transform,hand,processing script,pending
backend/scripts/build_digital_export_excel.py,.py,15540,transform,hand,processing script,pending
backend/scripts/build_expanded_population_frame.py,.py,73640,transform,hand,processing script,pending
backend/scripts/build_final_excel.py,.py,16388,transform,hand,processing script,pending
backend/scripts/build_nbs_accounts.py,.py,16435,transform,hand,processing script,pending
backend/scripts/build_sample.py,.py,50327,transform,hand,processing script,pending
backend/scripts/consolidate_geography.py,.py,5790,transform,hand,processing script,pending
backend/scripts/generate_console_api.py,.py,40717,transform,hand,processing script,pending
backend/scripts/generate_extended_console_api.py,.py,10451,transform,hand,processing script,pending
backend/scripts/generate_nbs_static_api.py,.py,7903,transform,hand,processing script,pending
backend/scripts/generate_static_api.py,.py,7206,transform,hand,processing script,pending
backend/scripts/merge_final_delivery.py,.py,18257,transform,hand,processing script,pending
backend/scripts/merge_full_extraction.py,.py,8551,transform,hand,processing script,pending
backend/scripts/nbs_deliverables.py,.py,18182,transform,hand,processing script,pending
backend/scripts/nbs_extract_full.py,.py,22902,transform,hand,processing script,pending
backend/scripts/nbs_extract_new_artists.py,.py,17743,transform,hand,processing script,pending
backend/scripts/nbs_final_delivery.py,.py,42698,transform,hand,processing script,pending
backend/scripts/nmas_soundcharts.py,.py,11851,transform,hand,processing script,pending
backend/scripts/probe_chartmetric_ng.py,.py,3096,transform,hand,processing script,pending
backend/scripts/soundcharts_backfill.py,.py,17989,transform,hand,processing script,pending
backend/scripts/soundcharts_backfill_full.py,.py,21835,transform,hand,processing script,pending
backend/scripts/soundcharts_geography_full.py,.py,7769,transform,hand,processing script,pending
backend/scripts/soundcharts_repair_streaming.py,.py,9320,transform,hand,processing script,pending
backend/scripts/soundcharts_resolve_artists.py,.py,6371,transform,hand,processing script,pending
backend/scripts/standardise_final_delivery.py,.py,16150,transform,hand,processing script,pending
